user_id,month_year,housing_utilities,groceries,restaurants_cafes,transportation_fuel,public_transport,healthcare_pharmacy,education_tuition,childcare,clothing_personal_care,entertainment_hobbies,subscriptions,other_shopping,gifts_charity,miscellaneous,total_expenses,total_essential_spending,total_discretionary_spending,essential_spending_ratio,discretionary_spending_ratio,savings_this_month,spending_vs_last_month_percentage,highest_spending_category,meets_50_30_20_rule
1e925480-2cdc-4163-8902-441061f38483,2024-10,3359.06,610.96,663.29,79.61,199.22,817.31,300,800,381.48,665.49,213.83,171.21,111.02,93.97,15817.74,13517.45,2300.29,0.8546,0.1454,-6159.74,0.0,entertainment_hobbies,False
1e925480-2cdc-4163-8902-441061f38483,2024-10,3294.17,646.43,871.16,73.29,179.84,740.09,300,800,776.99,380.54,250.22,259.87,306.38,205.36,16435.63,13385.11,3050.52,0.8144,0.1856,-6777.63,3.91,restaurants_cafes,False
1e925480-2cdc-4163-8902-441061f38483,2024-11,3418.51,736.59,567.41,74.05,175.72,849.17,300,800,566.36,355.39,193.84,182.83,217.62,133.41,15922.19,13705.33,2216.86,0.8608,0.1392,-6264.19,-3.12,groceries,False
1e925480-2cdc-4163-8902-441061f38483,2024-12,3424.89,603.2,209.93,76.05,192.17,807.18,300,800,325.68,374.23,205.64,277.36,274.44,128.14,15350.2,13554.78,1795.42,0.883,0.117,-5692.2,-3.59,groceries,False
1e925480-2cdc-4163-8902-441061f38483,2025-01,3384.0,637.46,301.75,96.9,184.77,766.96,300,800,303.31,358.58,128.06,129.06,235.83,59.74,15037.71,13521.38,1516.33,0.8992,0.1008,-5379.71,-2.04,groceries,False
1e925480-2cdc-4163-8902-441061f38483,2025-02,3336.06,691.88,902.32,95.68,194.78,676.24,300,800,718.38,501.81,228.51,291.06,299.62,178.36,16565.99,13445.93,3120.06,0.8117,0.1883,-6907.99,10.16,restaurants_cafes,False
1e925480-2cdc-4163-8902-441061f38483,2025-03,3380.24,557.48,659.86,86.66,173.72,787.7,300,800,511.72,312.22,227.12,164.61,213.52,80.64,15606.78,13437.09,2169.69,0.861,0.139,-5948.78,-5.79,restaurants_cafes,False
1e925480-2cdc-4163-8902-441061f38483,2025-04,3349.63,656.41,276.97,98.4,202.44,713.66,300,800,448.63,520.19,194.63,130.61,296.73,62.55,15402.14,13471.83,1930.31,0.8747,0.1253,-5744.14,-1.31,groceries,False
1e925480-2cdc-4163-8902-441061f38483,2025-05,3491.35,607.41,546.04,102.09,201.04,745.08,300,800,561.93,414.49,228.62,187.55,277.25,103.18,15917.32,13598.26,2319.06,0.8543,0.1457,-6259.32,3.34,groceries,False
1e925480-2cdc-4163-8902-441061f38483,2025-06,3340.31,748.09,504.81,92.05,180.79,816.11,300,800,290.16,661.67,194.54,199.89,233.55,158.99,15872.25,13628.64,2243.61,0.8586,0.1414,-6214.25,-0.28,groceries,False
