user_id,household_size,num_adults,num_children,location_type,life_stage,employment_status,monthly_household_income,income_stability,credit_score,total_debt,monthly_debt_payments,rent_or_mortgage,savings_goal_monthly,has_health_insurance,financial_goal_type,emergency_fund_months,savings_rate_percentage,debt_to_income_ratio,housing_cost_ratio,monthly_savings_actual,financial_health_score,optimization_priority
1e925480-2cdc-4163-8902-441061f38483,4,2,2,urban,young_family,employed,9658,stable,583,153902.84,7351.29,3236.71,1508.51,False,home,0.0,-63.22,76.12,33.51,-6105.87,0,critical
f5b7ea8c-86a6-4c31-9821-9edad0757d01,1,1,0,suburban,young_professional,employed,4481,stable,416,27270.12,1241.34,1894.7,803.77,True,emergency_fund,0.0,-11.94,27.7,42.28,-534.87,2,critical
e99469b1-ffcc-4fe0-bfa6-a24552ea24bd,2,2,0,urban,empty_nesters,employed,7663,variable,682,252457.81,9533.79,1411.54,1387.32,False,retirement,0.0,-71.12,124.41,18.42,-5449.76,0,critical
0fd47901-d782-4546-98d9-0066369672d1,1,1,0,rural,young_professional,employed,3130,seasonal,366,76017.45,2526.46,508.35,600.73,False,emergency_fund,0.0,-75.99,80.72,16.24,-2378.59,0,critical
0f6bf826-a903-435d-bfe0-ae2da4cbcb82,2,2,0,urban,retiree,retired,5616,seasonal,446,16722.02,350.21,2143.08,669.89,True,other,2.87,15.46,6.24,38.16,868.24,76,low
a7ea008e-b2c6-499d-87d0-dd33a7cc9337,3,2,1,rural,young_family,employed,7097,stable,441,150747.43,5701.32,1795.39,1083.39,True,home,0.0,-51.72,80.33,25.3,-3670.66,0,critical
072108ed-da49-4391-bf02-5ce580d47d9f,4,2,2,suburban,established_family,employed,14898,seasonal,850,491003.18,16476.37,5159.1,1253.58,True,retirement,0.0,-65.43,110.59,34.63,-9747.45,0,critical
2f6d4516-a531-4068-8105-27d94d5803a3,1,1,0,urban,retiree,retired,4320,stable,394,9055.6,223.2,1103.22,352.05,True,other,2.83,10.41,5.17,25.54,449.59,68,low
419185c7-8416-47bf-8bbe-87a0dd7f5b7c,1,1,0,suburban,young_professional,employed,6676,stable,570,239564.11,6621.03,1787.61,1095.1,True,emergency_fund,0.0,-51.88,99.18,26.78,-3463.4,0,critical
cf173f79-2aaf-49a6-be29-6db7db285f76,1,1,0,urban,young_professional,employed,5981,stable,536,162497.22,7480.71,1371.43,716.0,True,emergency_fund,0.0,-74.72,125.07,22.93,-4469.04,0,critical
e047c53f-31ed-493b-94c0-aa01034f0816,2,2,0,suburban,empty_nesters,employed,10268,stable,631,341046.31,9575.77,3112.01,987.77,True,retirement,0.0,-45.06,93.26,30.31,-4626.67,0,critical
